# catastrophe model
# p_misseg: 0.003
# n_cells: 10000
# n_chrom: 92
# p_cat: 0.5
# C: 10
 errors  dNk  dNk_w_noise
     11    6            8
     11   10           11
     10    8            8
     10    8            9
     10    4            6
     10    4            4
     10    8            9
     11    6            6
     10   16           16
     10    4            5
     11    2            3
     10    4            4
     10    0            0
     10    8            9
     10    4            5
     10    4            5
     10    4            5
     10    4            5
     13    6            6
     10    0            2
     10    0            1
     10    4            4
     10   12           12
     12   16           18
     11   14           14
     10    4            4
     11    2            2
     10   12           13
     10    4            4
     10    8            8
     11   18           21
     10    0            2
     10    0            0
     10    4            6
     10    4            4
     11   14           14
     11    2            2
     10    8           10
     10    4            7
     10    0            3
     11    6            8
     10    4            5
     11    2            3
     10    0            1
     10   12           13
     10    4            5
     12    4            6
     10    8            8
     10    4            7
     10   16           18
     11    2            2
     10    8            9
     10    4            5
     11   10           11
     10    8            8
     10    0            0
     11   10           11
     11    2            4
     10    4            8
     10    0            0
     10    0            1
     10    4            4
     11    2            2
     10    0            1
     11   10           10
     10    4            7
     11    6            8
     10    8            9
     10    0            1
     10    0            0
     10    8            8
     10    8            8
     11    6            6
     10    8            9
     10    4            7
     10   12           12
     10    8            8
     10    4            5
     10    8            8
     10    0            1
     10    8            8
     11   10           13
     10    8           10
     10    0            0
     10    4            5
     10   12           13
     10    0            3
     11    2            3
     10    4            4
     10   12           14
     10    4            5
     10    0            1
     10    8           11
     10    8           10
     10    0            2
     10    8           11
     10    4            5
     10    0            1
     10    8           10
     10    4            5
     10    4            5
     10    0            1
     11    6            7
     10    0            0
     10    4            9
     10    8            9
     10    0            1
     10    4            4
     11   10           11
     10    4            6
     10    4            5
     10    0            0
     10    4            6
     10    4            5
     11   14           14
     10    8           10
     10    4            7
     10    4            5
     10    4            5
     10    0            0
     11    2            3
     10   12           15
     10    0            1
     10    4            4
     10    4            4
     10    0            0
     10    0            1
     10    4            6
     10    8            9
     11   18           19
     12    0            0
     10    4            4
     11    6            6
     11    6            7
     10   16           18
     10    8           12
     12    8           10
     10    4            4
     11    2            2
     10    8           10
     10   12           12
     11    6            7
     10    0            2
     10    8           12
     10    4            8
     10    0            0
     11    2            3
     10    8            9
     10    0            1
     11   10           11
     11    2            2
     10    8            9
     10    0            1
     10   12           14
     10   12           14
     10    4            8
     11    6            9
     10    4            4
     10    4            4
     10   16           18
     10   12           12
     10    8            9
     10    8            9
     11    2            4
     10    4            5
     10    8           10
     10    8            9
     10    4            5
     10    4            6
     10    0            0
     10   12           14
     11    6            7
     11    2            2
     11    6            6
     10    8            8
     10    4            6
     10    4            5
     12    4            5
     12    8            9
     10    4            6
     10    0            0
     11    2            3
     10    4            4
     10    0            0
     10    0            1
     10    8           10
     10    0            0
     11    2            3
     11   14           15
     10    4            4
     10    8           12
     10    4            8
     11   10           10
     10    4            4
     11    2            2
     10   12           13
     11   10           10
     10   12           12
     10   12           12
     10    0            0
     10    4            5
     10    4            4
     10    0            1
     10    8            9
     11    6            7
     10    4            5
     10    4            6
     10    0            0
     10    0            1
     10    4            4
     10    8            9
     11    2            3
     10    4            4
     11    2            2
     12    0            1
     10    4            5
     10    8            9
     10    4            5
     10    8            9
     10    4            5
     10    8            9
     11   10           11
     11    6            6
     10    8            9
     10    4            4
     10    4            6
     10   12           16
     10    0            2
     10    0            1
     11   10           12
     11   14           15
     10    4            7
     10    0            1
     11   10           12
     10    4            5
     11    2            3
     10    8            9
     10   16           17
     10    4            6
     10    4            4
     11    2            3
     10    8            8
     10    0            1
     11   10           12
     11    2            3
     10   12           12
     10    0            0
     10    4            5
     10    8            9
     10    4            7
     11    6            8
     11    2            2
     10    4            8
     11    6            9
     11    2            5
     10    0            1
     10    4            4
     11    6            6
     10    4            8
     11    6            8
     10    4            4
     10    0            4
     10    0            1
     10    4            4
     10    4            4
     11    2            5
     12    0            0
     10    4            5
     11   18           19
     10    4            5
     10    4            5
     11    2            2
     12   12           14
     10    4            4
     11    2            3
     11    6            6
     10    0            1
     10    4            4
     10    8            9
     10    0            1
     11   10           12
     10    0            0
     10   12           13
     11    6            6
     11   14           15
     10    4            5
     10    4            4
     10    4            4
     12    4            4
     10    4            4
     10   12           12
     10   12           13
     13   10           11
     10    4            5
     10    0            0
     10    0            1
     11    2            3
     10    0            2
     11    6            7
     10    0            0
     10    4            4
     11    6            7
     10   16           18
     10    4            4
     10    4            4
     10    4            5
     11    2            3
     10    0            0
     11    6            7
     10    4            5
     11    2            3
     10    4            5
     10   12           13
     10    0            1
     10    0            0
     10    4            6
     11    2            2
     10    4            6
     11    6            6
     11   10           10
     10    0            1
     10    4            5
     10    4            7
     11    6            7
     10    8           10
     10   16           17
